Raha Drinking Chocolate Sachet 50G,KES 32.00,50 gr,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h30/hb1/16813622591518/17256_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hb7/h56/12462844936222/17256_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h30/hb1/16813622591518/17256_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/hb7/h56/12462844936222/17256_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Benefit Slimming Green Tea Bag20'S,KES 803.00,Not mentioned,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/he9/h51/16873214640158/56517_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h44/hd4/12463337504798/56517_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/he9/h51/16873214640158/56517_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h44/hd4/12463337504798/56517_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Kericho Gold Pure Kenya Loose Black Tea 100g,KES 90.00,100g,Empty,"Kericho Gold tea bags is a special blend of fine teas from some of the best Tea Plantations in Kenya, which have been selected by our expert Tea Tasters for the richness of their taste, flavor and aroma. Each week, our tasters painstakingly review the quality of these teas to ensure that high standards are maintained, guaranteeing you a perfect cup of tea every time.","['https://cdnprod.mafretailproxy.com/sys-master-root/hc0/h64/17328412164126/8253_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha5/hdd/17328707207198/8253_1.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha6/h0a/17328709828638/8253_2.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/he9/hdd/17328710811678/8253_3.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h91/h73/17328711860254/8253_4.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hc0/h64/17328412164126/8253_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha5/hdd/17328707207198/8253_1.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha6/h0a/17328709828638/8253_2.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/he9/hdd/17328710811678/8253_3.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h91/h73/17328711860254/8253_4.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Fruit Full Tembo Blackberry And Grape Juice 100ml,KES 17.00,100ml,Empty,"Fruit Full Tembo Blackberry Grape Smoothie is loaded with the goodness of potassium and calcium from grapes. It is prepared from the best quality sweet grapes to make sure that it lives up to its consistency and quality all around the year, with every pack you pick up. It is a refreshing natural drink that is best served chilled. Best suited for a relaxing break during a hot afternoon or after a strenuous day at play, Fruit Full Tembo Blackberry Grape is a real boon for children with its health benefits and great taste. It comes in six-layered Tetra-Pak for added protection from germs and external factors such as air and sunlight.","['https://cdnprod.mafretailproxy.com/sys-master-root/hfa/h19/17292003999774/17428_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha5/hfa/12681323708446/17428_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hfa/h19/17292003999774/17428_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/ha5/hfa/12681323708446/17428_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Suntop Berries Fruit Juice  250 ml,KES 50.00,250 ml,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h50/h8c/12463541321758/80661_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h50/h8c/12463541321758/80661_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Ketepa Pride Enveloped Tea Bags 100g,KES 149.00,100g,5 ,"Ketepa Pride Tea Bags are blended from a selection of tea with finer granules, allowing for full, fast infusion. Packed in 2gm, they are heat sealed to avoid tearing for comfortable enjoyment of best quality tea.","['https://cdnprod.mafretailproxy.com/sys-master-root/h45/hd3/17328552378398/22910_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hce/h91/12462058143774/22910_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h45/hd3/17328552378398/22910_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/hce/h91/12462058143774/22910_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Fruitville Berry Juice 1L,KES 214.00,1L,Empty,"Mix berry contains highly beneficial content that may enrich the vitality of your body and contribute to overall health and well-being. It may help in balancing all essential nutrition and provide body vitality for energy throughout the day and hence prevents from various dreadful diseases for long and healthy life. Presenting Fruitville mixed berries, packed with the goodness of 6 super fruits red grapes, cranberries, raspberries, strawberries, sea buckthorns, and blueberries. With the antioxidants and essential nutrients like vitamins and minerals, berries help the immunity and breath health of kids.","['https://cdnprod.mafretailproxy.com/sys-master-root/h04/h91/17292720799774/94133_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h9f/ha9/12463735701534/94133_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h04/h91/17292720799774/94133_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/h9f/ha9/12463735701534/94133_Main.jpg_480Wx480H?im=Resize=(60,60)']"
Product Name,Price,Pack Size,Inventory Left,Description,All images url
Maccoffee Gold Freeze Dried Coffee 50g,KES 449.00,50 gr,Empty,No Description,"['https://cdnprod.mafretailproxy.com/sys-master-root/h9d/ha1/17385150447646/33571_main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hf5/hce/12462422491166/33571_Main.jpg_480Wx480H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h9d/ha1/17385150447646/33571_main.jpg_480Wx480H?im=Resize=(60,60)', 'https://cdnprod.mafretailproxy.com/sys-master-root/hf5/hce/12462422491166/33571_Main.jpg_480Wx480H?im=Resize=(60,60)']"
